(0 70 66 1 1)
(21 75 69 16666667/50000000 1)
(21 41 49 16666667/50000000 1)
(10666667/500000 63 62 16666667/50000000 1)
(10666667/500000 60 60 16666667/50000000 1)
(10833333/500000 69 65 16666667/50000000 1)
(10833333/500000 53 56 16666667/50000000 1)
(22 79 71 16666667/50000000 1)
(22 46 52 16666667/50000000 1)
(11166667/500000 67 64 16666667/50000000 1)
(11166667/500000 63 62 16666667/50000000 1)
(11333333/500000 72 67 16666667/50000000 1)
(11333333/500000 56 58 16666667/50000000 1)
(23 77 70 16666667/50000000 1)
(23 53 56 16666667/50000000 1)
(11666667/500000 65 63 16666667/50000000 1)
(11666667/500000 62 61 16666667/50000000 1)
(11833333/500000 68 65 16666667/50000000 1)
(11833333/500000 56 58 16666667/50000000 1)
(24 72 67 16666667/50000000 1)
(24 46 52 16666667/50000000 1)
(12166667/500000 60 60 16666667/50000000 1)
(12166667/500000 56 58 16666667/50000000 1)
(12333333/500000 65 63 16666667/50000000 1)
(12333333/500000 50 54 16666667/50000000 1)
(25 70 66 16666667/50000000 1)
(25 39 48 16666667/50000000 1)
(12666667/500000 58 59 16666667/50000000 1)
(12666667/500000 55 57 16666667/50000000 1)
(12833333/500000 67 64 16666667/50000000 1)
(12833333/500000 46 52 16666667/50000000 1)
(26 75 69 16666667/50000000 1)
(26 39 48 16666667/50000000 1)
(13166667/500000 63 62 16666667/50000000 1)
(13166667/500000 55 57 16666667/50000000 1)
(13333333/500000 70 66 16666667/50000000 1)
(13333333/500000 46 52 16666667/50000000 1)
(27 79 71 16666667/50000000 1)
(27 39 48 16666667/50000000 1)
(13666667/500000 67 64 16666667/50000000 1)
(13666667/500000 58 59 16666667/50000000 1)
(13833333/500000 75 69 16666667/50000000 1)
(13833333/500000 46 52 16666667/50000000 1)
(28 82 73 16666667/50000000 1)
(28 39 48 16666667/50000000 1)
(14166667/500000 70 66 16666667/50000000 1)
(14166667/500000 63 62 16666667/50000000 1)
(14333333/500000 79 71 16666667/50000000 1)
(14333333/500000 55 57 16666667/50000000 1)
(29 87 76 16666667/50000000 1)
(29 46 52 16666667/50000000 1)
(14666667/500000 75 69 16666667/50000000 1)
(14666667/500000 67 64 16666667/50000000 1)
(14833333/500000 82 73 16666667/50000000 1)
(14833333/500000 58 59 16666667/50000000 1)
(30 91 78 16666667/50000000 1)
(30 51 55 16666667/50000000 1)
(15166667/500000 75 69 16666667/50000000 1)
(15166667/500000 70 66 16666667/50000000 1)
(15333333/500000 82 73 16666667/50000000 1)
(15333333/500000 58 59 16666667/50000000 1)
(31 89 77 16666667/50000000 1)
(31 51 55 16666667/50000000 1)
(15666667/500000 74 68 16666667/50000000 1)
(15666667/500000 71 66 16666667/50000000 1)
(15833333/500000 80 72 16666667/50000000 1)
(15833333/500000 59 59 16666667/50000000 1)
(32 87 76 16666667/50000000 1)
(32 51 55 16666667/50000000 1)
(8083333/250000 75 69 16666667/50000000 1)
(8083333/250000 72 67 16666667/50000000 1)
(32658333/1000000 80 72 16666667/50000000 1)
(32658333/1000000 60 60 16666667/50000000 1)
(33 84 74 16666667/50000000 1)
(33 51 55 16666667/50000000 1)
(8333333/250000 72 67 16666667/50000000 1)
(8333333/250000 68 65 16666667/50000000 1)
(33658333/1000000 80 72 16666667/50000000 1)
(33658333/1000000 62 61 16666667/50000000 1)
(34 84 74 16666667/50000000 1)
(34 51 55 16666667/50000000 1)
(8583333/250000 72 67 16666667/50000000 1)
(8583333/250000 67 64 16666667/50000000 1)
(8666667/250000 79 71 16666667/50000000 1)
(8666667/250000 63 62 16666667/50000000 1)
(35 82 73 16666667/50000000 1)
(35 58 59 16666667/50000000 1)
(8833333/250000 70 66 16666667/50000000 1)
(8833333/250000 67 64 16666667/50000000 1)
(8916667/250000 75 69 16666667/50000000 1)
(8916667/250000 63 62 16666667/50000000 1)
(36 79 71 16666667/50000000 1)
(36 48 53 16666667/50000000 1)
(9083333/250000 67 64 16666667/50000000 1)
(9083333/250000 63 62 16666667/50000000 1)
(9166667/250000 75 69 16666667/50000000 1)
(9166667/250000 55 57 16666667/50000000 1)
(37 78 71 16666667/50000000 1)
(37 47 52 16666667/50000000 1)
(9333333/250000 66 64 16666667/50000000 1)
(9333333/250000 63 62 16666667/50000000 1)
(9416667/250000 75 69 16666667/50000000 1)
(9416667/250000 57 58 16666667/50000000 1)
(38 77 70 16666667/50000000 1)
(38 51 55 16666667/50000000 1)
(9583333/250000 65 63 16666667/50000000 1)
(9583333/250000 63 62 16666667/50000000 1)
(9666667/250000 75 69 16666667/50000000 1)
(9666667/250000 57 58 16666667/50000000 1)
(39 78 71 16666667/50000000 1)
(39 47 52 16666667/50000000 1)
(9833333/250000 66 64 16666667/50000000 1)
(9833333/250000 63 62 16666667/50000000 1)
(9916667/250000 75 69 16666667/50000000 1)
(9916667/250000 57 58 16666667/50000000 1)
(40 79 71 16666667/50000000 1)
(40 46 52 16666667/50000000 1)
(10083333/250000 67 64 16666667/50000000 1)
(10083333/250000 62 61 16666667/50000000 1)
(10166667/250000 74 68 16666667/50000000 1)
(10166667/250000 55 57 16666667/50000000 1)
(41 81 72 16666667/50000000 1)
(41 45 51 16666667/50000000 1)
(10333333/250000 69 65 16666667/50000000 1)
(10333333/250000 62 61 16666667/50000000 1)
(10416667/250000 74 68 16666667/50000000 1)
(10416667/250000 54 57 16666667/50000000 1)
(42 82 73 16666667/50000000 1)
(42 43 50 16666667/50000000 1)
(10583333/250000 70 66 16666667/50000000 1)
(10583333/250000 62 61 16666667/50000000 1)
(10666667/250000 74 68 16666667/50000000 1)
(10666667/250000 55 57 16666667/50000000 1)
(43 84 74 16666667/50000000 1)
(43 41 49 16666667/50000000 1)
(10833333/250000 72 67 16666667/50000000 1)
(10833333/250000 70 66 16666667/50000000 1)
(10916667/250000 77 70 16666667/50000000 1)
(10916667/250000 63 62 16666667/50000000 1)
(44 86 75 16666667/50000000 1)
(44 53 56 16666667/50000000 1)
(11083333/250000 74 68 16666667/50000000 1)
(11083333/250000 70 66 16666667/50000000 1)
(11166667/250000 77 70 16666667/50000000 1)
(11166667/250000 63 62 16666667/50000000 1)
(45 81 72 16666667/50000000 1)
(45 60 60 16666667/50000000 1)
(11333333/250000 69 65 16666667/50000000 1)
(11333333/250000 65 63 16666667/50000000 1)
(11416667/250000 77 70 16666667/50000000 1)
(11416667/250000 63 62 16666667/50000000 1)
(46 84 74 16666667/50000000 1)
(46 46 52 16666667/50000000 1)
(11583333/250000 72 67 16666667/50000000 1)
(11583333/250000 63 62 16666667/50000000 1)
(11666667/250000 77 70 16666667/50000000 1)
(11666667/250000 53 56 16666667/50000000 1)
(47 82 73 16666667/50000000 1)
(47 46 52 16666667/50000000 1)
(11833333/250000 70 66 16666667/50000000 1)
(11833333/250000 62 61 16666667/50000000 1)
(11916667/250000 77 70 16666667/50000000 1)
(11916667/250000 53 56 16666667/50000000 1)
(48 77 70 16666667/50000000 1)
(48 46 52 16666667/50000000 1)
(12083333/250000 65 63 16666667/50000000 1)
(12083333/250000 61 61 16666667/50000000 1)
(12166667/250000 70 66 16666667/50000000 1)
(12166667/250000 53 56 16666667/50000000 1)
(49 77 70 16666667/50000000 1)
(49 44 51 16666667/50000000 1)
(12333333/250000 65 63 16666667/50000000 1)
(12333333/250000 59 59 16666667/50000000 1)
(12416667/250000 71 66 16666667/50000000 1)
(12416667/250000 53 56 16666667/50000000 1)
(50 75 69 16666667/50000000 1)
(50 49 54 16666667/50000000 1)
(12583333/250000 63 62 16666667/50000000 1)
(12583333/250000 59 59 16666667/50000000 1)
(12666667/250000 70 66 16666667/50000000 1)
(12666667/250000 53 56 16666667/50000000 1)
(51 77 70 16666667/50000000 1)
(51 37 47 16666667/50000000 1)
(12833333/250000 61 61 16666667/50000000 1)
(12833333/250000 59 59 16666667/50000000 1)
(12916667/250000 68 65 16666667/50000000 1)
(12916667/250000 53 56 16666667/50000000 1)
(52 80 72 16666667/50000000 1)
(52 42 50 16666667/50000000 1)
(13083333/250000 61 61 16666667/50000000 1)
(13083333/250000 58 59 16666667/50000000 1)
(13166667/250000 70 66 16666667/50000000 1)
(13166667/250000 54 57 16666667/50000000 1)
(53 78 71 16666667/50000000 1)
(53 49 54 16666667/50000000 1)
(13333333/250000 61 61 16666667/50000000 1)
(13333333/250000 58 59 16666667/50000000 1)
(13416667/250000 70 66 16666667/50000000 1)
(13416667/250000 54 57 16666667/50000000 1)
(54 73 68 16666667/50000000 1)
(54 42 50 16666667/50000000 1)
(13583333/250000 61 61 16666667/50000000 1)
(13583333/250000 58 59 16666667/50000000 1)
(13666667/250000 70 66 16666667/50000000 1)
(13666667/250000 49 54 16666667/50000000 1)
(55 77 70 16666667/50000000 1)
(55 37 47 16666667/50000000 1)
(13833333/250000 61 61 16666667/50000000 1)
(13833333/250000 59 59 16666667/50000000 1)
(13916667/250000 71 66 16666667/50000000 1)
(13916667/250000 53 56 16666667/50000000 1)
(56 75 69 16666667/50000000 1)
(56 44 51 16666667/50000000 1)
(14083333/250000 61 61 16666667/50000000 1)
(14083333/250000 59 59 16666667/50000000 1)
(14166667/250000 70 66 16666667/50000000 1)
(14166667/250000 53 56 16666667/50000000 1)
(57 77 70 16666667/50000000 1)
(57 37 47 16666667/50000000 1)
(14333333/250000 61 61 16666667/50000000 1)
(14333333/250000 59 59 16666667/50000000 1)
(14416667/250000 68 65 16666667/50000000 1)
(14416667/250000 53 56 16666667/50000000 1)
(58 80 72 16666667/50000000 1)
(58 42 50 16666667/50000000 1)
(14583333/250000 61 61 16666667/50000000 1)
(14583333/250000 58 59 16666667/50000000 1)
(14666667/250000 70 66 16666667/50000000 1)
(14666667/250000 54 57 16666667/50000000 1)
(59 78 71 16666667/50000000 1)
(59 49 54 16666667/50000000 1)
(14833333/250000 61 61 16666667/50000000 1)
(14833333/250000 58 59 16666667/50000000 1)
(14916667/250000 70 66 16666667/50000000 1)
(14916667/250000 54 57 16666667/50000000 1)
(60 77 70 16666667/50000000 1)
(60 42 50 16666667/50000000 1)
(15083333/250000 61 61 16666667/50000000 1)
(15083333/250000 58 59 16666667/50000000 1)
(15166667/250000 70 66 16666667/50000000 1)
(15166667/250000 49 54 16666667/50000000 1)
(61 76 69 16666667/50000000 1)
(61 42 50 16666667/50000000 1)
(15333333/250000 61 61 16666667/50000000 1)
(15333333/250000 58 59 16666667/50000000 1)
(15416667/250000 70 66 16666667/50000000 1)
(15416667/250000 49 54 16666667/50000000 1)
(62 82 73 16666667/50000000 1)
(62 42 50 16666667/50000000 1)
(15583333/250000 64 62 16666667/50000000 1)
(15583333/250000 61 61 16666667/50000000 1)
(15666667/250000 73 68 16666667/50000000 1)
(15666667/250000 54 57 16666667/50000000 1)
(63 85 75 16666667/50000000 1)
(63 42 50 16666667/50000000 1)
(15833333/250000 70 66 16666667/50000000 1)
(15833333/250000 64 62 16666667/50000000 1)
(15916667/250000 76 69 16666667/50000000 1)
(15916667/250000 58 59 16666667/50000000 1)
(64 86 75 16666667/50000000 1)
(64 41 49 16666667/50000000 1)
(2573/40 70 66 16666667/50000000 1)
(2573/40 65 63 16666667/50000000 1)
(8083333/125000 77 70 16666667/50000000 1)
(8083333/125000 58 59 16666667/50000000 1)
(65 87 76 16666667/50000000 1)
(65 53 56 16666667/50000000 1)
(2613/40 70 66 16666667/50000000 1)
(2613/40 67 64 16666667/50000000 1)
(8208333/125000 79 71 16666667/50000000 1)
(8208333/125000 58 59 16666667/50000000 1)
(66 83 73 16666667/50000000 1)
(66 53 56 16666667/50000000 1)
(2653/40 68 65 16666667/50000000 1)
(2653/40 65 63 16666667/50000000 1)
(8333333/125000 74 68 16666667/50000000 1)
(8333333/125000 59 59 16666667/50000000 1)
(67 84 74 16666667/50000000 1)
(67 53 56 16666667/50000000 1)
(2693/40 69 65 16666667/50000000 1)
(2693/40 65 63 16666667/50000000 1)
(8458333/125000 75 69 16666667/50000000 1)
(8458333/125000 60 60 16666667/50000000 1)
(68 86 75 16666667/50000000 1)
(68 53 56 16666667/50000000 1)
(8541667/125000 69 65 16666667/50000000 1)
(8541667/125000 65 63 16666667/50000000 1)
(8583333/125000 77 70 16666667/50000000 1)
(8583333/125000 63 62 16666667/50000000 1)
(69 81 72 16666667/50000000 1)
(69 53 56 16666667/50000000 1)
(8666667/125000 65 63 16666667/50000000 1)
(8666667/125000 63 62 16666667/50000000 1)
(8708333/125000 72 67 16666667/50000000 1)
(8708333/125000 57 58 16666667/50000000 1)
(70 84 74 16666667/50000000 1)
(70 46 52 16666667/50000000 1)
(8791667/125000 65 63 16666667/50000000 1)
(8791667/125000 63 62 16666667/50000000 1)
(8833333/125000 75 69 16666667/50000000 1)
(8833333/125000 53 56 16666667/50000000 1)
(71 82 73 16666667/50000000 1)
(71 46 52 16666667/50000000 1)
(8916667/125000 65 63 16666667/50000000 1)
(8916667/125000 62 61 16666667/50000000 1)
(8958333/125000 74 68 16666667/50000000 1)
(8958333/125000 53 56 16666667/50000000 1)
(72 77 70 16666667/50000000 1)
(72 46 52 16666667/50000000 1)
(9041667/125000 65 63 16666667/50000000 1)
(9041667/125000 61 61 16666667/50000000 1)
(9083333/125000 70 66 16666667/50000000 1)
(9083333/125000 53 56 16666667/50000000 1)
(73 77 70 16666667/50000000 1)
(73 44 51 16666667/50000000 1)
(9166667/125000 65 63 16666667/50000000 1)
(9166667/125000 59 59 16666667/50000000 1)
(9208333/125000 71 66 16666667/50000000 1)
(9208333/125000 53 56 16666667/50000000 1)
(74 75 69 16666667/50000000 1)
(74 49 54 16666667/50000000 1)
(9291667/125000 63 62 16666667/50000000 1)
(9291667/125000 59 59 16666667/50000000 1)
(9333333/125000 70 66 16666667/50000000 1)
(9333333/125000 53 56 16666667/50000000 1)
(75 77 70 16666667/50000000 1)
(75 37 47 16666667/50000000 1)
(9416667/125000 61 61 16666667/50000000 1)
(9416667/125000 59 59 16666667/50000000 1)
(9458333/125000 68 65 16666667/50000000 1)
(9458333/125000 53 56 16666667/50000000 1)
(76 80 72 16666667/50000000 1)
(76 42 50 16666667/50000000 1)
(9541667/125000 61 61 16666667/50000000 1)
(9541667/125000 58 59 16666667/50000000 1)
(9583333/125000 70 66 16666667/50000000 1)
(9583333/125000 54 57 16666667/50000000 1)
(77 78 71 16666667/50000000 1)
(77 49 54 16666667/50000000 1)
(9666667/125000 61 61 16666667/50000000 1)
(9666667/125000 58 59 16666667/50000000 1)
(9708333/125000 70 66 16666667/50000000 1)
(9708333/125000 54 57 16666667/50000000 1)
(78 73 68 16666667/50000000 1)
(78 42 50 16666667/50000000 1)
(9791667/125000 61 61 16666667/50000000 1)
(9791667/125000 58 59 16666667/50000000 1)
(9833333/125000 70 66 16666667/50000000 1)
(9833333/125000 49 54 16666667/50000000 1)
(79 77 70 16666667/50000000 1)
(79 37 47 16666667/50000000 1)
(9916667/125000 61 61 16666667/50000000 1)
(9916667/125000 59 59 16666667/50000000 1)
(9958333/125000 71 66 16666667/50000000 1)
(9958333/125000 53 56 16666667/50000000 1)
(80 75 69 16666667/50000000 1)
(80 44 51 16666667/50000000 1)
(10041667/125000 61 61 16666667/50000000 1)
(10041667/125000 59 59 16666667/50000000 1)
(10083333/125000 70 66 16666667/50000000 1)
(10083333/125000 53 56 16666667/50000000 1)
(81 77 70 16666667/50000000 1)
(81 37 47 16666667/50000000 1)
(10166667/125000 61 61 16666667/50000000 1)
(10166667/125000 59 59 16666667/50000000 1)
(10208333/125000 68 65 16666667/50000000 1)
(10208333/125000 53 56 16666667/50000000 1)
(82 80 72 16666667/50000000 1)
(82 42 50 16666667/50000000 1)
(10291667/125000 61 61 16666667/50000000 1)
(10291667/125000 58 59 16666667/50000000 1)
(10333333/125000 70 66 16666667/50000000 1)
(10333333/125000 54 57 16666667/50000000 1)
(83 78 71 16666667/50000000 1)
(83 49 54 16666667/50000000 1)
(10416667/125000 61 61 16666667/50000000 1)
(10416667/125000 58 59 16666667/50000000 1)
(10458333/125000 70 66 16666667/50000000 1)
(10458333/125000 54 57 16666667/50000000 1)
(84 77 70 16666667/50000000 1)
(84 42 50 16666667/50000000 1)
(10541667/125000 61 61 16666667/50000000 1)
(10541667/125000 58 59 16666667/50000000 1)
(10583333/125000 70 66 16666667/50000000 1)
(10583333/125000 49 54 16666667/50000000 1)
(85 76 69 16666667/50000000 1)
(85 43 50 16666667/50000000 1)
(10666667/125000 61 61 16666667/50000000 1)
(10666667/125000 58 59 16666667/50000000 1)
(10708333/125000 70 66 16666667/50000000 1)
(10708333/125000 52 55 16666667/50000000 1)
(86 79 71 16666667/50000000 1)
(86 46 52 16666667/50000000 1)
(10791667/125000 64 62 16666667/50000000 1)
(10791667/125000 61 61 16666667/50000000 1)
(10833333/125000 73 68 16666667/50000000 1)
(10833333/125000 52 55 16666667/50000000 1)
(87 78 71 16666667/50000000 1)
(87 45 51 16666667/50000000 1)
(10916667/125000 63 62 16666667/50000000 1)
(10916667/125000 60 60 16666667/50000000 1)
(10958333/125000 72 67 16666667/50000000 1)
(10958333/125000 51 55 16666667/50000000 1)
(88 81 72 16666667/50000000 1)
(88 48 53 16666667/50000000 1)
(11041667/125000 66 64 16666667/50000000 1)
(11041667/125000 63 62 16666667/50000000 1)
(11083333/125000 75 69 16666667/50000000 1)
(11083333/125000 54 57 16666667/50000000 1)
(89 80 72 16666667/50000000 1)
(89 47 52 16666667/50000000 1)
(11166667/125000 65 63 16666667/50000000 1)
(11166667/125000 62 61 16666667/50000000 1)
(11208333/125000 74 68 16666667/50000000 1)
(11208333/125000 53 56 16666667/50000000 1)
(90 83 73 16666667/50000000 1)
(90 50 54 16666667/50000000 1)
(11291667/125000 68 65 16666667/50000000 1)
(11291667/125000 65 63 16666667/50000000 1)
(11333333/125000 77 70 16666667/50000000 1)
(11333333/125000 56 58 16666667/50000000 1)
(91 82 73 16666667/50000000 1)
(91 49 54 16666667/50000000 1)
(11416667/125000 67 64 16666667/50000000 1)
(11416667/125000 64 62 16666667/50000000 1)
(11458333/125000 76 69 16666667/50000000 1)
(11458333/125000 55 57 16666667/50000000 1)
(92 85 75 16666667/50000000 1)
(92 52 55 16666667/50000000 1)
(11541667/125000 70 66 16666667/50000000 1)
(11541667/125000 67 64 16666667/50000000 1)
(11583333/125000 79 71 16666667/50000000 1)
(11583333/125000 58 59 16666667/50000000 1)
(93 84 74 16666667/50000000 1)
(93 51 55 16666667/50000000 1)
(11666667/125000 69 65 16666667/50000000 1)
(11666667/125000 66 64 16666667/50000000 1)
(11708333/125000 78 71 16666667/50000000 1)
(11708333/125000 57 58 16666667/50000000 1)
(94 87 76 16666667/50000000 1)
(94 54 57 16666667/50000000 1)
(11791667/125000 72 67 16666667/50000000 1)
(11791667/125000 69 65 16666667/50000000 1)
(11833333/125000 81 72 16666667/50000000 1)
(11833333/125000 60 60 16666667/50000000 1)
(95 86 75 16666667/50000000 1)
(95 53 56 16666667/50000000 1)
(11916667/125000 71 66 16666667/50000000 1)
(11916667/125000 68 65 16666667/50000000 1)
(11958333/125000 80 72 16666667/50000000 1)
(11958333/125000 59 59 16666667/50000000 1)
(96 89 77 1/2 1)
(96 58 59 1/2 1)
(97 70 66 16666667/50000000 1)
(97 39 48 16666667/50000000 1)
(12166667/125000 58 59 16666667/50000000 1)
(12166667/125000 55 57 16666667/50000000 1)
(12208333/125000 67 64 16666667/50000000 1)
(12208333/125000 46 52 16666667/50000000 1)
(98 75 69 16666667/50000000 1)
(98 39 48 16666667/50000000 1)
(12291667/125000 63 62 16666667/50000000 1)
(12291667/125000 55 57 16666667/50000000 1)
(12333333/125000 70 66 16666667/50000000 1)
(12333333/125000 46 52 16666667/50000000 1)
(99 79 71 16666667/50000000 1)
(99 39 48 16666667/50000000 1)
(12416667/125000 67 64 16666667/50000000 1)
(12416667/125000 58 59 16666667/50000000 1)
(12458333/125000 75 69 16666667/50000000 1)
(12458333/125000 46 52 16666667/50000000 1)
(100 82 73 16666667/50000000 1)
(100 39 48 16666667/50000000 1)
(12541667/125000 70 66 16666667/50000000 1)
(12541667/125000 63 62 16666667/50000000 1)
(12583333/125000 79 71 16666667/50000000 1)
(12583333/125000 55 57 16666667/50000000 1)
(101 87 76 16666667/50000000 1)
(101 46 52 16666667/50000000 1)
(12666667/125000 75 69 16666667/50000000 1)
(12666667/125000 67 64 16666667/50000000 1)
(12708333/125000 82 73 16666667/50000000 1)
(12708333/125000 58 59 16666667/50000000 1)
(102 91 78 16666667/50000000 1)
(102 51 55 16666667/50000000 1)
(12791667/125000 75 69 16666667/50000000 1)
(12791667/125000 70 66 16666667/50000000 1)
(12833333/125000 82 73 16666667/50000000 1)
(12833333/125000 58 59 16666667/50000000 1)
(103 89 77 16666667/50000000 1)
(103 51 55 16666667/50000000 1)
(12916667/125000 74 68 16666667/50000000 1)
(12916667/125000 71 66 16666667/50000000 1)
(12958333/125000 80 72 16666667/50000000 1)
(12958333/125000 59 59 16666667/50000000 1)
(104 87 76 16666667/50000000 1)
(104 51 55 16666667/50000000 1)
(13041667/125000 75 69 16666667/50000000 1)
(13041667/125000 72 67 16666667/50000000 1)
(13083333/125000 80 72 16666667/50000000 1)
(13083333/125000 60 60 16666667/50000000 1)
(105 84 74 16666667/50000000 1)
(105 51 55 16666667/50000000 1)
(13166667/125000 72 67 16666667/50000000 1)
(13166667/125000 68 65 16666667/50000000 1)
(13208333/125000 80 72 16666667/50000000 1)
(13208333/125000 62 61 16666667/50000000 1)
(106 84 74 16666667/50000000 1)
(106 51 55 16666667/50000000 1)
(13291667/125000 72 67 16666667/50000000 1)
(13291667/125000 67 64 16666667/50000000 1)
(13333333/125000 79 71 16666667/50000000 1)
(13333333/125000 63 62 16666667/50000000 1)
(107 82 73 16666667/50000000 1)
(107 58 59 16666667/50000000 1)
(13416667/125000 70 66 16666667/50000000 1)
(13416667/125000 67 64 16666667/50000000 1)
(13458333/125000 75 69 16666667/50000000 1)
(13458333/125000 63 62 16666667/50000000 1)
(108 79 71 16666667/50000000 1)
(108 51 55 16666667/50000000 1)
(13541667/125000 67 64 16666667/50000000 1)
(13541667/125000 63 62 16666667/50000000 1)
(13583333/125000 70 66 16666667/50000000 1)
(13583333/125000 55 57 16666667/50000000 1)
(109 75 69 16666667/50000000 1)
(109 41 49 16666667/50000000 1)
(13666667/125000 63 62 16666667/50000000 1)
(13666667/125000 60 60 16666667/50000000 1)
(13708333/125000 69 65 16666667/50000000 1)
(13708333/125000 53 56 16666667/50000000 1)
(110 74 68 16666667/50000000 1)
(110 48 53 16666667/50000000 1)
(13791667/125000 62 61 16666667/50000000 1)
(13791667/125000 60 60 16666667/50000000 1)
